#,"Country","Total Cases","Total Deaths","Total Recovered","Tot Cases/1M pop","Deaths/1M pop",Population
1,France,"40,138,560","167,642","39,970,918","612,013","2,556","65,584,518"
2,Germany,"38,828,995","183,027","38,240,600","462,891","2,182","83,883,596"
3,Italy,"26,723,249","196,487","26,361,218","443,445","3,261","60,262,770"
4,UK,"24,910,387","232,112","24,678,275","363,666","3,389","68,497,907"
5,Russia,"24,124,215","402,756","23,545,818","165,454","2,762","145,805,947"
6,Spain,"13,914,811","121,760","13,762,417","297,840","2,606","46,719,142"
7,Netherlands,"8,635,786","22,992","8,612,599","501,747","1,336","17,211,447"
8,Poland,"6,661,991","120,598",N/A,"176,524","3,196","37,739,785"
9,Greece,"6,101,379","37,869",N/A,"591,412","3,671","10,316,637"
10,Austria,"6,081,287","22,542","6,054,934","670,727","2,486","9,066,710"
11,Portugal,"5,643,062","28,126","5,614,809","556,484","2,774","10,140,570"
12,Ukraine,"5,557,995","112,418","5,445,577","128,681","2,603","43,192,122"
13,Belgium,"4,861,695","34,376","4,826,798","416,659","2,946","11,668,278"
14,Czechia,"4,759,041","43,517","4,715,206","443,246","4,053","10,736,784"
15,Switzerland,"4,453,053","14,452","4,438,309","507,549","1,647","8,773,637"
16,Romania,"3,529,735","68,929","3,460,149","185,470","3,622","19,031,335"
17,Denmark,"3,183,756","8,814","3,174,942","545,636","1,511","5,834,950"
18,Sweden,"2,754,129","27,407","2,726,492","269,511","2,682","10,218,971"
19,Serbia,"2,615,054","18,057","2,596,608","302,213","2,087","8,653,016"
20,Hungary,"2,230,232","49,048","2,152,155","232,164","5,106","9,606,259"
21,Slovakia,"1,877,605","21,224","1,856,381","343,872","3,887","5,460,193"
22,Ireland,"1,734,582","9,491","1,724,921","345,521","1,891","5,020,199"
23,Finland,"1,516,117","11,958","1,503,989","272,930","2,153","5,554,960"
24,Norway,"1,509,732","6,638","1,503,094","273,930","1,204","5,511,370"
25,Lithuania,"1,397,806","9,897","1,387,478","525,154","3,718","2,661,708"
26,Slovenia,"1,356,546","7,100","1,349,424","652,803","3,417","2,078,034"
27,Bulgaria,"1,339,851","38,748","1,292,944","195,753","5,661","6,844,597"
28,Croatia,"1,309,728","18,687","1,258,432","322,650","4,604","4,059,286"
29,Belarus,"994,037","7,118","985,592","105,381",755,"9,432,800"
30,Latvia,"982,505","6,715","971,406","531,418","3,632","1,848,837"
31,Moldova,"635,145","12,218",N/A,"158,265","3,044","4,013,171"
32,Estonia,"628,070","3,001",N/A,"475,123","2,270","1,321,910"
33,Bosnia and Herzegovina,"403,615","16,388","379,084","124,215","5,044","3,249,317"
34,Luxembourg,"391,232","1,232",N/A,"609,044","1,918","642,371"
35,North Macedonia,"350,567","9,976","337,068","168,436","4,793","2,081,304"
36,Albania,"334,863","3,605","330,233","116,825","1,258","2,866,374"
37,Montenegro,"296,542","2,846","291,794","472,238","4,532","627,950"
38,Iceland,"209,906",229,N/A,"607,731",663,"345,393"
39,Malta,"121,420",885,"120,149","273,448","1,993","444,033"
40,Channel Islands,"101,717",228,"101,321","576,421","1,292","176,463"
41,Andorra,"48,015",165,N/A,"619,844","2,130","77,463"
42,Isle of Man,"38,008",116,N/A,"443,335","1,353","85,732"
43,Faeroe Islands,"34,658",28,N/A,"703,959",569,"49,233"
44,San Marino,"26,185",128,"26,011","768,226","3,755","34,085"
45,Liechtenstein,"21,574",94,N/A,"562,013","2,449","38,387"
46,Gibraltar,"20,550",113,N/A,"609,720","3,353","33,704"
47,Monaco,"17,181",67,N/A,"431,868","1,684","39,783"
48,Vatican City,29,,29,"36,295",,799
